id,name_zh,name_en,country,country_en,url,開放第二次出國交換之同學選填,申請組別,GPA要求,年級限制,語言要求,不接受申請之學院,名額,學校年曆,註冊繳費,住宿資訊,注意事項,latitude,longitude
375,烏普薩拉大學,Uppsala University,瑞典,Sweden,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/375,否,一般組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 92 (接受 Home Edition) 或 IELTS 6.5 或 全民英檢中高級,社會科學院經濟學系、社會科學院經濟學研究所,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Housing is not guaranteed, but accommodation is offered for exchange students based on the following conditions:,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],59.8576363
85,優密歐大學,Umeå University,瑞典,Sweden,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/85,是,一般組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 90 (接受 Home Edition) 或 IELTS 6.0,設計、建築、藝術,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Not guaranteed, but students can apply for housing. More information here.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],63.8217763
84,斯德哥爾摩大學,Stockholm University,瑞典,Sweden,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/84,否,一般組,無,大二以上/碩一/碩二(不含博士生)學生,TOEFL iBT 90 (寫 20 接受 Home Edition) 或 IELTS 6.5 (聽 5.5 讀 5.5 寫 5.5 說 5.5) 或 全民英檢中高級,無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Admitted exchange students will receive an email with application instructions regarding housing.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,59.366141
83,隆德大學,Lund University,瑞典,Sweden,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/83,否,一般組,無,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 90 (接受 Home Edition) 或 IELTS 6.5,社會科學院新聞研究所、醫學院,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,LU ACCOMMODATION: It is strongly recommended that students apply as soon as the application period opens.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,55.7126504
1281,瑞士東部應用科技大學,Eastern Switzerland University of Applied Sciences,瑞士,Switzerland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1281,是,德語組,無,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 79 (接受 Home Edition) 或 IELTS 6.0 或 全民英檢中高級；或具德語檢定成績 B2(中高級) 級以上,建築、土木工程、景觀建築、空間規劃、社會工作與健康科學,School of Management全學年1名；Schools T, I, ABLR全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,"['無', '交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。']",
469,蘇黎世大學,University of Zurich,瑞士,Switzerland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/469,否,德語組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 90 (不接受 Home Edition) 或 IELTS 6.5；或具德語檢定成績 C1(高級) 級以上,無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,UZH does not own on-campus student dormitories. However, there is a limited number of rooms reserved for UZH students which are managed by the ETH/UZH Housing Office.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],47.4968435
425,洛桑大學,University of Lausanne,瑞士,Switzerland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/425,否,法語組,GPA 達2.70分以上,大二以上/碩一以上/博一以上學生,TOEFL iBT 80 (接受 Home Edition) 或 IELTS 6.0；或具法語檢定成績 B2(中高級) 級以上,管理學院會計學研究所、管理學院財務金融學研究所、管理學院企業管理碩士專班、醫學院,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Accepted students will receive instructions to apply online for a room in one of the Students' Residences of UNILausanne. More infomation here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,46.5225695
371,伯恩大學,University of Bern,瑞士,Switzerland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/371,是,德語組,無,大二以上/碩一以上/博一以上學生,TOEFL iBT 80 (寫 17 不接受 Home Edition) 或 IELTS 6.0 (寫 6.0) 或 全民英檢中高級；或具德語檢定成績 B2(中高級) 級以上,醫學院、公共衛生學院、生物資源暨農學院獸醫學系、生物資源暨農學院獸醫學研究所、生物資源暨農學院臨床動物醫學研究所,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Students must arrange for housing on their own. There are several private providers of student housing in Bern and your students will receive a list of all available options.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,46.9509726
89,聖加倫大學,University of St. Gallen,瑞士,Switzerland,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/89,是,德語組,無,大二以上/碩一以上(不含博士生)學生,TOEFL iBT 89 (接受 Home Edition) 或 IELTS 6.5 或 全民英檢中高級；或具德語檢定成績 B2(中高級) 級以上,CEMS MiM課程、商業新聞課程、商業教師教育課程,全學年4名,Academic Calendar,免繳該校學雜費，但仍須在本校註冊並繳交全額學雜費，生活費、住宿費、保險費及往返機票費等均須自行負擔。,Not guaranteed but students can apply for housing. More information here.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,47.4300025
91,倫敦大學亞非學院,"School of Oriental and African Studies, University of London (SOAS)",英國,United Kingdom,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/91,是,一般組,GPA 達3.50分以上,大二以上(僅限大學部)學生,TOEFL iBT 95 (讀 20 聽 20 說 20 寫 23 不接受 Home Edition) 或 IELTS 6.0 (聽 5.5 讀 5.5 寫 5.5 說 5.5),無,全學年1名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Not guaranteed, but students can apply for housing. More information here.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],51.5218979
1303,東安格利亞大學,University of East Anglia,英國,United Kingdom,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1303,是,一般組,GPA 達3.00分以上,大二以上(僅限大學部)學生,TOEFL iBT 88 (讀 20 聽 19 說 21 寫 19 不接受 Home Edition) 或 IELTS 6.5 (聽 6.0 讀 6.0 寫 6.0 說 6.0),醫學院、公共衛生學院、社會科學院社會工作學系,全學年3名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,UEA guarantees accommodation for students who apply before the accommodation deadline in most circumstances. Information about accommodation can be found here, including links to the prices.,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],52.6210623
1291,杜倫大學,Durham University,英國,United Kingdom,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1291,是,一般組,GPA 達3.20分以上,大二/大三/大四學生,TOEFL iBT 92 (讀 23 聽 23 說 23 寫 23 不接受 Home Edition) 或 IELTS 6.5 (聽 6.0 讀 6.0 寫 6.0 說 6.0),無,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,All full year non-European exchange students from non-European partners are guaranteed a place in one of the residential colleges of the University if they apply for the programme by the deadline.,交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。,,54.7641281
1290,里茲大學,University of Leeds,英國,United Kingdom,https://oia.ntu.edu.tw/outgoing/view/semester/1/sn/1290,是,一般組,GPA 達3.00分以上,大二以上(僅限大學部)學生,TOEFL iBT 80 (讀 18 聽 17 說 20 寫 19 不接受 Home Edition) 或 IELTS 6.0 (聽 5.5 讀 5.5 寫 5.5 說 5.5),醫學院、公共衛生學院、牙醫學系、護理學系、建築學系,全學年2名,Academic Calendar,須在本校註冊並繳交全額學雜費，免繳該校學費，但該校雜費、住宿費、生活費、保險費、往返機票費等均須自行負擔,Housing is guaranteed if students apply for it before the deadlines (1 July for S1, 1 December for S2).,['交換學校一覽表所列之語言能力為該校之最低門檻要求，同學需自行確認語言能力是否符合該校修課要求、查詢是否有相對應的系所及足夠的課程可供選讀、能否達到該校之每學期修課學分數要求、以及是否具備相關領域之背景知識，若未達標準，該校有權拒收。'],53.8057925
